ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
3730	ZJU-China	Liver Guard: Precise therapy of hepatocellular carcinoma based on engineered oncolytic adenovirus	Oncolytic virus (OV) is a promising method to treat hepatocellular carcinoma, yet it has not been widely used clinically due to low infection efficiency, insufficient specificity, compromised intertumoral transmission and etc. Our project designed a genetically modified adenovirus using synthetic biology approach to overcome current problems with oncolytic virus. We also enables engineered adenovirus to escape from immunity trap with immunocamouflage, which increases the titre of viral infection. We hoped that our project can give a new insight into precise oncolytic treatment of hepatocellular carcinoma.	Therapeutics	Gold Medal	Top 10+Best Therapeutics Project+Best New Basic Part+Best Safety & Security+Best Software Tool	Best Hardware, Undergrad+Best Measurement, Undergrad+Best New Composite Part, Undergrad+Best Part Collection, Undergrad+Best Wiki, Undergrad	2021	Ming Chen, Fan Yang			Haoran Wu	Boyan Zhang, Guanrui Huang, Jiangchu Lei, Jiou Cheng, Linhe Yang, Longshuang Hu, Xiangjing Chen, Yichen Wang, Yongyin Wang, Yufei Huang, Zhuo MAO, Ziyuan Che	15	Undergrad	China	Asia	https://2021.igem.org/Team:ZJU-China	Accepted
3731	Nanjing-China	Polyp Neo	IBD?inflammatory bowel disease? are two serious, chronic digestive diseases that affect five million people worldwide. By means of Synthetic Biology, we hope to biosynthesize long-chain polyphosphate, which is biocompatible and promising to cure IBD. The aim of our project is to develop a new application of long-chain polyphosphate, including not only biosynthesizing it with high yield and under the concept of sustainable development, but also exploring its potential to be developed as a new IBD therapy.	New Application	Gold Medal			2021	Wei Wei	zhicheng wang, Zipeng Chen	Wenjie Guo, Zhen Jiang, Zhi Ding	Guantong Qi	Diya Zhang, Guangkai An, Haoru Song, Hao Yin, Jiaqi Gao, Qingqing Yuan, Qingyang Zhao, Ruilin Tian, Saixi Li, Sihan Wang, Te Fu, Wanting Zheng, Wenle Zhang, Xiaowei Li, Xinna Hu, Xinyi Li, Xuan Li, Yanran Zhao, Yan Zeng, Yuhan Wang	27	Undergrad	China	Asia	https://2021.igem.org/Team:Nanjing-China	Accepted
3732	FAFU-CHINA	"""Mystery of Fragrance"":Photoperiod Microbial Fragrance Production System"	This year, our team developed a system of aroma production by light-regulated microorganisms, which gives microorganisms the ability to produce aroma by regulating endogenous pathways and cutting into different exogenous enzymes, and through mathematical modeling, determine its optimal culture conditions so that it stably exists in the developed system. By adding light-controlled switch elements to microorganisms, the concentration of the aroma can be changed according to the intensity of light. The inhibition of linalool synthase in Escherichia coli is relieved under light, and linalool can be produced. Saccharomyces cerevisiae can produce nerol in dark conditions, and the related proteins are eventually degraded under the light. Finally, we designed an ingenious hardware device for the whole system, which effectively solved the problem of microbial leakage and aroma diffusion. Looking to the future, our team hopes to apply the system to the development of new nightlights and into people's lives.	New Application	Silver Medal			2021	Shijiang Cao, Qinghua Zhang, Futao Guo, Yuan Qin	Shubin Li, Yan Cheng, Yuan Yu	LIN, WENXIN	Jianxiang Liang, Jiehui Ye, qinyu chen	Jinchen Zhu, Jingwei Li, Jing Zhou, Lin Zhou, Maohua Yan, Shan Su, Shenluan Tan, Shiyao Li, Sibo Jiao, Xiaowen Qi, Xu yuying, Yanyan Zhong, Yifei Guo, Yiqing Huang, Yuan Tan, Yuxuan Chen, Ziyan Liu	28	Undergrad	China	Asia	https://2021.igem.org/Team:FAFU-CHINA	Accepted
3733	HZAU-China	P.E.T: Pets' Enteric Test	"Inflammatory bowel disease (IBD), whose victim almost covers all mammalian species, is an immune-mediated disease at the intersection of complex interactions among genetics, environment and gut microbiota. Compared with human-beings, pets are not able to voice their current health conditions directly; thus, delayed diagnosis becomes a common phenomenon. Taking the most common pets- dogs as objects, HZAU-China aims to develop a method based on synthetic biology to detect IBD at an early stage. The modified Escherichia coli Nissle 1917 can sense the concentration change of biomarkers. If pets suffer from IBD, the bacteria will amplify the unperceivable pathological change by producing substance with special smell and release therapeutic protein. Whatever pets' health conditions are, the modified bacteria will release health-care unit, exerting profound positive effects on pets' health. In the future, our project will be further ameliorated so as to apply this detective method to a wider range of mammals."	Diagnostics	Gold Medal	Top 10+Best Model	Best Diagnostics Project, Overgrad+Best Education, Overgrad+Best Measurement, Overgrad+Best New Composite Part, Overgrad+Best Part Collection, Overgrad	2021	Binguang Ma, JIN HE	Xun Wang	Hongyu Zhang, Shengkun Tong, Yu Han	Yuanhui Sun, Zhenhao Han	Chuanhao Liu, Heping Zhang, HuiLing Lu, Jianglai Nie, Jie Min, Liu Tong, Mingqin Yang, Nuo Chen, She ?Shujin, Tongzhou Yu, Xue Zhang, Yini Xiao, Yin yang, Yue Shu, Yuqi Ren, Zaiyang Chen, Zheng Mengyao, Zhihan Zhang, Ziyun Wu	27	Overgrad	China	Asia	https://2021.igem.org/Team:HZAU-China	Accepted
3734	CSU_CHINA	Sweet Guard	Our project aims to find a new method of treating type 1 diabetes with the help of synthetic biology. Our engineered cells will be implanted subcutaneously by mature embedding technology.When the cells meet two conditions , hyperglycemia and shinning blue light, they are able to secrete insulin and make the levels ofblood sugar become lower until it gets back to normal level. However, when the level of insulin is high?Insulin molecule will be combined with insulin receptor and the signal would be activated by it. Then, miRNA will be expressed and inhibit the expression of insulin. Meanwhile, because of Tet-off system, we can use tetracycline to force the loop to stop, in order to improve the safety of our design.	Therapeutics	Gold Medal		Best Software Tool, Undergrad	2021	Jia-Da Li, Li Jie	Chen Meiming, Chi-Yu Li, Ye Liang	Haoran Hu, Hao Zhou, Mingyu Liang, Tianyuan Xie, Yanzhe Zhang	Xingjun Zhao, Zeyuan Wang	Chengping Yu, Cheng Yang, Daiyang Liu, Fengzhen Qin, Jianyong Yi, Jieyi Long, Jingyuan Luo, Kaizhi Liang, Menglin Chen, Qianyue Zhang, Qinyu Liu, Shuwen Li, Shuyi Chen, Sitong Liu, Xingchen ZENG, Xu Wang, Yichen Cheng, Yiwen Liu, Yunhan Xu, Zhicong Li, Zhuoyao Li, Zixue Wang, Zizhi Yan	35	Undergrad	China	Asia	https://2021.igem.org/Team:CSU_CHINA	Accepted
3735	NAU-CHINA	High-efficiency selenium recovery bioreactor : E. coli	Selenium nanoparticles (SeNPs) are a kind of elemental selenium wrapped in biological macromolecules such as proteins. Some microorganisms have the nutural ability to reduce selenium-oxide anions to SeNPs. However, they are not always perfect. There are problems such as low reduction efficiency and low activity due to large particle size of SeNPs. We chose E.coli BL21, which has the natural ability of reducing selenium oxide anions to SeNPs, as the chassis, added ssuE enzyme and Sef A protein which could improve the reduction rate. Finally, a high-efficient selenium recovery bioreactor with higher reduction rate and higher product activity was obtained. The SeNPs produced in the bioreactor has been used to inhibit drug-resistant bacteria, adsorb heavy metal ions and improve the quality of crops with satisfactory results.	Environment	Gold Medal			2021	Jiandong Jiang	Ate Li, Jin Wang, Wang Jufang, Zhe Wang	Haoyu Ma, Peng Chen, Xinyue Jiang, Xiuli Wang, Yunong Li	Guolong Shi	Bingxin Hu, Boyuan Yu, Guangxu Wang, Haiyang Zhao, Huimu Yu, Kaituo Yan, Rongguang Gao, Ruihong Liu, Tianxin Chen, Xiayan Qin, Xin Du, Yichi Jin, Yiheng Yang, Yiqing Zheng, Yujing Shang, Zhijun Fan, Zongyou Zou	28	Undergrad	China	Asia	https://2021.igem.org/Team:NAU-CHINA	Accepted
3736	NCTU_Formosa	Denteeth - A New Type of Dental Bone	Periodontal disease is an infection of the tissues that hold your teeth in place. Severe periodontal disease was proved to be related to many chronic and cardiovascular diseases. With almost 10% of the global population affected with periodontal disease, the problem of oral disease has been one of the top problems that pose a threat to human beings and even dogs. As many experimenting thoughts are first conducted on dogs, we think it's expedient to focus on dogs' oral health first before applying to human beings. We ameliorate and create a new type of dental bone, DenTeeth.In DenTeeth, antimicrobial peptides are used to sterilize. And we also found several proteins which can repair damaged gingiva and tooth tissue. By optimizing our design through this procedure, we can adjust our project to the optimal place.	Therapeutics	Gold Medal		Best New Composite Part, Undergrad	2021	Wen-Liang Chen, Hsiao-Ching Lee		CHIANG CHIH-LU, Huang han yi	HSU CHING-WU, YI-TZU JUAN	I Hua Lee, Wu Shao-Chi, YANG TING YEN, Yu Ruo Chen	10	Undergrad	Taiwan	Asia	https://2021.igem.org/Team:NCTU_Formosa	Accepted
3737	Alma	Poisoned River	The Pine River is found in central Michigan, near Alma College's campus. Following the closure of the Velsicol Chemical Plant in 1978, many environmental pollutants -- including DDT and its derivatives -- were improperly disposed of and leached into the surroundings, thus coining the name, the Poisoned River. These organochlorides are endocrine disruptors and possible carcinogens have wreaked havoc on the local ecosystem. More than this population were affected. Our solution: a biosensor that uses estrogen receptors to detect these harmful pollutants. Several species of animals have estrogen receptors known to bind DDT, a known xenoestrogen. Linking this to a reporting gene, such as RFP, within a microbe will allow the detection of organochlorides. This can lead to the screening of contaminated areas locally and globally. Ultimately, this biosensor has the potential to save thousands of dollars in not only our superfund sites, but pollution cleanup effort across the globe.	Environment	Silver Medal			2021	Devin Camenares, Brian Doyle, Lauren Woolbright		Kelsey Taylor	Abbey Killian, Connor Arens, Gary Carter, Madison Hibbs, Ruby Lovasz	Alexa DeKorte, Aryaan Misra, Aubrey Martin, Benjamin Schall, Christina Harbin, Delaney Dahl, Elizabeth Elliott-Redlin, Gavin Swiecicki, George G Amoako, Hallie Sage, Isabelle Banks, Isabelle Conn, Jordan Prielipp, Kaissidy ?Homolka, Kaleb Leenknegt, Kylah Fischer, Madison O'Deay, Marwa Assiad, Matthew Hanson, Paige Lamoreaux, Rhianna Haynes, Sebastian Nolte, Syrine Ben Driss, Tatym Plath	33	Overgrad	United States	North America	https://2021.igem.org/Team:Alma	Accepted
3738	Lethbridge	Title not available	Abstract not available	Environment	Bronze Medal			2021	Angeliki Pantazi		Fabian Rohden, Marcel Ezra Michailides	Emily Hagens, Mark Lea, Rebecca Ha	Aum Patel, Elisha Wong, Reece Martin, Rowan Fehr, Seanna Goeseels	11	Undergrad	Canada	North America	https://2021.igem.org/Team:Lethbridge	Accepted
3739	XMU-China	SALVAGE	Nuclear power is an important source in electricity production. The plants need to be built on coast for the huge requirement of cooling water. However, marine organisms such as Phaeocystis globosa and Mytilus eduli sometimes cause blockage, making the cooling water system less efficient. Here, we show our solutions that the Lectin-SpyTag/SpyCatcher can pull down P. globosa colonies and then the hutH-fused proteins suppress the activity of P. globosa. To inhibit M. eduli fouling, Vibrio natriegens are engineered to express LC1KR2, PPO, and TnaA, which function jointly to attach engineered bacteria to the coarse grille and to inhibit M. eduli attachment. Genes rhlA and rhlB are also introduced to remove protection from mussel foot protein(mfp). As for biosafety, a blue-light-activated device, pBlind system, is implemented to control the expression of toxic protein BlrA, which can constrain the engineered bacteria in a reservoir with two blue light strips upstream and downstream.	New Application	Gold Medal		Best Model, Undergrad+Best New Application Project, Undergrad+Best New Basic Part, Undergrad+Best New Composite Part, Undergrad+Best Part Collection, Undergrad	2021	Baishan Fang	Aihui Zhang, Jiacheng Huang, Jianwen Lin, Junhong Chen, Xiao-yan Zhuang	Hang Jin, Limin Qiu, Meihao Ou, Ruijie Mo, Ruomeng Bi, Shi Zhang, Shuling Xiao, Xiaoyu Wang, Yang Liang, Yangqi Deng, Yang Shi, Zhichun Yang	Shichen Geng, YiXian Zheng	Boyu Liu, Chong Li, Huang Yan, Liu Jielin, Miaoting Guo, Peiqi An, Ruiyao Tang, Shang Zhiyun, Wang Haotian, Wenkai Yang, Xianglei Cao, Yuhao Zhang, Yuying Chen, Zhang zi yv, Zilan Chen, Ziyan Han	36	Undergrad	China	Asia	https://2021.igem.org/Team:XMU-China	Accepted
